Team,,1st,2nd,3rd,R,H,E,,,,,,,,,,,,,
Silly Salmon @ Wiffle Women,,,,,,,,,Player Stats,,,,,,,,,,,
Game 1,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Silly Salmon,,,,,5,,,,,,AB,H,2B,3B,HR,RBI,K,BB,R,BA
Wiffle Women,,,,,3,,,,Wiffle Women,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 2,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Wiffle Women,,,,,7,,,,,,,,,,,,,,,
Silly Salmon,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 3,,1,2,3,Runs,Hits,Errors,,Silly Salmon,,,,,,,,,,,
Silly Salmon,,,,,,,,,,,,,,,,,,,,
Wiffle Women,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Seattle Seamen @ Hole Patrol,,,,,,,,,Player Stats,,,,,,,,,,,
Game 1,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Seattle Seamen,,,,,99,,,,,,AB,H,2B,3B,HR,RBI,K,BB,R,BA
Hole Patrol,,,,,0,,,,Hole Patrol,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 2,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Hole Patrol,,,,,0,,,,,,,,,,,,,,,
Seattle Seamen,,,,,99,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 3,,1,2,3,Runs,Hits,Errors,,Seattle Seamen,,,,,,,,,,,
Seattle Seamen,,,,,99,,,,,,,,,,,,,,,
Hole Patrol,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hojat's Heroes @ Killas,,,,,,,,,Player Stats,,,,,,,,,,,
Game 1,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Hojat's Heroes,,1,1,1,3,7,0,,,,AB,H,2B,3B,HR,RBI,K,BB,R,BA
Killas,,0,2,0,2,6,0,,Killas,,,,,,,,,,,
,,,,,,,,,Chris Wiley,,11,3,1,,1,4,,,3,.273
Game 2,,1,2,3,Runs,Hits,Errors,,Sav,,11,4,,,1,1,2,,3,.364
Hojat's Heroes,,0,5,2,7,7,0,,Josh,,10,3,,,,1,,,1,.300
Killas,,0,0,0,0,0,0,,Will,,9,4,1,,,3,,1,2,.444
,,,,,,,,,,,,,,,,,,,,
Game 3,,1,2,3,Runs,Hits,Errors,,Hojat's Heroes,,,,,,,,,,,
Killas,,0,7,0,7,8,1,,Brandon,,11,2,,,,,,,1,.182
Hojat's Heroes,,0,1,0,1,2,1,,Charlie,,9,3,2,1,,,,1,3,.333
,,,,,,,,,Beau,,9,3,3,,,3,2,1,2,.333
,,,,,,,,,Gabe,,8,7,2,,4,7,1,,7,.875
,,,,,,,,,Brennan,,5,1,,,1,1,1,,1,.200
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Captains and Civilians @ Daddy Day Care,,,,,,,,,Player Stats,,,,,,,,,,,
Game 1,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Captains and Civilians,,,,,5,,,,,,AB,H,2B,3B,HR,RBI,K,BB,R,BA
Daddy Day Care,,,,,3,,,,Daddy Day Care,,,,,,,,,,,
,,,,,,,,,Owen Andreas,,9,5,,,,1,,,,0.555
Game 2,,1,2,3,Runs,Hits,Errors,,Chase Barrett,,10,5,,,,,3,,,0.500
Daddy Day Care,,,,,1,,,,Reed Andreas,,10,3,,,1,3,1,,,0.300
Captains and Civilians,,,,,6,,,,SB,,10,3,,,,,5,,,0.300
,,,,,,,,,Captains and Civilians,,,,,,,,,,,
Game 3,,1,2,3,Runs,Hits,Errors,,Jack Burnette,,10,7,1,,,1,1,,,0.7O0
Captains and Civilians,,,,,3,,,,Blake Leimgruber,,8,4,2,,,,,2,,0.500
Daddy Day Care,,,,,0,,,,Alex Stienjes,,9,7,2,1,,2,,,,0.777
,,,,,,,,,Ben Worth,,8,4,1,,,1,2,,,0.500
,,,,,,,,,Will Camp,,2,2,,,,1,,,,1.000
,,,,,,,,,Jonah Levine,,9,7,,,1,7,,,,0.777
,,,,,,,,,,,,,,,,,,,,
Rooks @ Wiffle House,,,,,,,,,Player Stats,,,,,,,,,,,
Game 1,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Rooks,,,,,,,,,,,AB,H,2B,3B,HR,RBI,K,BB,R,BA
Wiffle House,,,,,,,,,Wiffle House,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 2,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Wiffle House,,,,,,,,,,,,,,,,,,,,
Rooks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 3,,1,2,3,Runs,Hits,Errors,,Rooks,,,,,,,,,,,
Rooks,,,,,,,,,,,,,,,,,,,,
Wiffle House,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bishop Sycamore @ Flaming Balls,,,,,,,,,Player Stats,,,,,,,,,,,
Game 1,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Bishop Sycamore,,,,,,,,,,,AB,H,2B,3B,HR,RBI,K,BB,R,BA
Flaming Balls,,,,,,,,,Flaming Balls,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 2,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Flaming Balls,,,,,,,,,,,,,,,,,,,,
Bishop Sycamore,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 3,,1,2,3,Runs,Hits,Errors,,Bishop Sycamore,,,,,,,,,,,
Bishop Sycamore,,,,,,,,,,,,,,,,,,,,
Flaming Balls,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Southside Sluggers @ Gus Bus,,,,,,,,,Player Stats,,,,,,,,,,,
Game 1,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Southside Sluggers,,,,,,,,,,,AB,H,2B,3B,HR,RBI,K,BB,R,BA
Gus Bus,,,,,,,,,Gus Bus,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 2,,1,2,3,Runs,Hits,Errors,,,,,,,,,,,,,
Gus Bus,,,,,,,,,,,,,,,,,,,,
Southside Sluggers,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Game 3,,1,2,3,Runs,Hits,Errors,,Southside Sluggers,,,,,,,,,,,
Southside Sluggers,,,,,,,,,,,,,,,,,,,,
Gus Bus,,,,,,,,,,,,,,,,,,,,